date-time,date-time,EC2-Instances($),S3($),Relational Database Service($),EC2-Other($),Glue($),DocumentDB (with MongoDB compatibility)($),Elastic MapReduce($),CloudWatch($),VPC($),OpenSearch Service($),Redshift($),Managed Streaming for Apache Kafka($),SageMaker($),ElastiCache($),DMS($),Elastic Load Balancing($),QuickSight($),Elastic File System($),SNS($),Lambda($),Elastic Container Service for Kubernetes($),Rekognition($),Hardened Red Hat Enterprise 7 (RHEL 7)($),Step Functions($),Glacier($),DynamoDB($),Backup($),AppFlow($),Route 53($),SQS($),EC2 Container Registry (ECR)($),Key Management Service($),API Gateway($),CloudFront($),Athena($),Secrets Manager($),CloudWatch Events($),Cognito($),X-Ray($),Cost Explorer($),Service Catalog($),Systems Manager($),SES($),Simple Workflow Service($),Direct Connect($),CloudTrail($),CodeArtifact($),Elastic Container Service($),Migration Hub Refactor Spaces($),Location Service($)
2023-11-04,2023-11-04,282.8583365439,1165.010207348,459.958850585,494.2655301165,227.9238697404,394.8756698944,113.4297656771,428.0704530116,71.3773400085,51.8144526289,53.1751047385,37.8134405319,0.0,61.8040800036,37.631525492,53.1910308039,41.1506402352,37.5427668242,24.2362914362,1.1133e-06,20.088,37.160475,17.76,7.026e-07,15.5764685324,23.2477301617,6.9521885364,5.6580506676,5.660411892,4.894049802,1.855154074,3.5177687268,1.2436176344,0.903191932,0.14515905,0.6963033984,0.04576809,0.0,0.0,0.1674,0.0,0.00610452,0.0,7.205e-07,0.0,84.346274205,0.0,0.0,0.0,0.0
2023-11-05,2023-11-05,281.6006649842,971.8352012159,460.7226349169,487.6380771221,197.7191292231,226.2960063537,114.4202234656,376.3366103844,71.3156064508,51.8144521027,54.0169062593,37.3619649629,0.0,61.80408,37.631525492,56.5991326662,40.4996402352,37.4139553622,15.9487649904,1.0974e-06,20.088,32.212875,17.76,6.987e-07,15.5764685324,21.7808849827,6.9554348946,6.8790050371,5.659879188,3.2080940171,7.8470682016,4.3594308168,1.1763163182,0.8132823486,0.12557325,0.7043339484,0.04416849,0.0,0.0,0.1395,0.0,0.0,0.0,4.824e-07,0.0,45.815177295,0.0,0.0,0.0,0.0
2023-11-06,2023-11-06,294.6472319582,1163.8577801447,461.4888689504,498.6136109975,219.1838538768,363.9777606836,119.8640862143,597.5494378761,76.4365220529,51.8144563877,54.6115878641,37.3900486575,0.000599401,61.8040800096,37.631525498,53.5446952821,42.1736402352,37.9861737654,7.6538711155,0.0250893474,20.088,40.5189375,17.76,7.102e-07,15.576468532,23.4512826784,7.0291474301,5.7353411311,5.660365764,1.7164948653,7.892984838,4.1959061268,1.2983039201,0.9645119792,0.1489116,0.7044594984,0.04540167,0.0,0.0,0.1674,0.0,0.00632214,0.0,7.329e-07,0.0,82.686733845,0.0,0.0,0.0,0.0
2023-11-07,2023-11-07,295.6609989479,1134.5106923929,461.797415115,501.7279005088,164.6622472032,333.9668337081,123.3787982394,459.7606902989,87.0307496317,51.8144601509,53.8173504466,37.2362006128,0.0005948017,61.8040800116,37.6315256044,53.6146596403,43.0106402352,39.2662563609,7.8683141016,0.0300799007,20.088,44.172675,17.76,8.004e-07,15.5764685316,23.5742151506,7.0330882573,5.7002984621,5.660500428,1.8973185475,6.6374341832,3.8187455568,1.2804839026,0.9486838127,0.14762355,0.7186838484,0.04487901,0.0,0.0,0.1581,0.0,0.00446679,0.0,7.143e-07,0.0,78.516485505,0.0,0.0,0.0,0.0
2023-11-08,2023-11-08,294.7939738064,1051.4776423984,462.5334571283,498.5138145131,166.0702052745,258.9202227044,119.1639295108,450.1988312638,80.8544863243,51.8144051381,50.9275178441,36.6992337735,0.0039298506,62.1063300158,37.6315254865,55.3745019657,42.9176402352,40.0821959909,22.7087905706,0.0281350973,20.088,38.8449375,17.42,9.518e-07,15.5764685312,23.6661732072,7.0367640925,4.4579853287,5.660273508,4.4673454066,1.8109393848,4.4311617168,1.2653068363,1.0568964659,0.17363565,0.7157171484,0.04565649,0.0,0.0,0.186,0.0,0.00275652,0.0,9.555e-07,0.0,61.30701174,0.0,0.0,0.0,0.0
2023-11-09,2023-11-09,188.6933379392,1059.4974648085,463.3694722911,493.5796639534,152.5856932548,276.7819657476,114.8437233375,481.406601098,80.8874956298,51.8143635479,52.6827482109,37.3281415777,0.0181945265,55.4568306056,37.6315254864,54.1278148554,44.0336402352,39.5442588192,7.8702825974,0.0300953056,20.088,30.538875,17.28,1.3817e-06,15.5764685312,23.5672779263,7.0630068158,5.7598517546,5.662358568,1.8397816587,1.8109393848,4.3590095268,1.2581244275,1.2042314996,0.17138505,0.7133223984,0.04588155,0.0,0.0,0.1953,0.0,0.0060264,0.0,7.36e-07,0.0,65.77760451,0.0,0.0,0.0,0.0
2023-11-10,2023-11-10,180.9447936871,1201.0059508189,465.3088551123,497.0845638737,148.628544036,312.3185347555,113.884751015,673.7398727594,83.1475770029,51.8143635972,56.7221983295,37.9150496431,0.0057945064,55.1545809956,37.6315254979,54.1271332701,39.9416402352,39.6665439376,22.8361260673,0.0333392012,20.088,33.18705,17.28,7.237e-07,15.5764685298,23.864890888,7.0809308537,7.2985516099,5.6598982274,4.4568742255,1.8117620339,4.3820102868,1.2495961496,0.9831904604,0.3563109,0.7153125984,0.04563417,0.0,0.0,0.1953,0.0,0.0010881,0.0,9.679e-07,2.9828854138,115.166315175,0.0,0.0,0.0,0.0
2023-11-11,2023-11-11,57.18960122,837.8189210056,466.1341487156,479.2155451624,154.854954765,148.7750844577,113.8862303455,173.1397299957,69.5619969373,51.8143579617,56.8698131314,36.897156926,0.0,47.2960823218,37.6315276522,40.9545175906,39.0116402352,39.1004438593,15.6025652725,0.0273693491,20.088,30.3459,17.28,9.444e-07,15.57646853,10.5494363282,7.1596361727,5.803181385,5.66468022,3.1614967517,1.8127095797,1.8217667868,1.1698893915,1.0834662108,0.13781205,0.6991724484,0.04336125,0.0,0.0,0.1953,0.0,0.00297972,0.0,7.298e-07,0.0,50.503281255,0.0,0.0,0.0,0.0
2023-11-12,2023-11-12,54.6921324891,760.8900175262,466.2050072697,453.6420688395,151.0068161937,122.2158146438,113.8827785721,95.2262099223,56.8711972289,51.8143591196,52.8087506786,35.0719772328,0.0,47.2960818048,37.6315263042,33.8092377118,38.7326402352,34.2948050249,7.5397078531,0.0020277584,20.088,1.0032375,17.28,9.476e-07,15.5764685304,8.6197146754,7.1619588699,5.6926267936,5.6592631025,1.583131477,1.8134463696,1.4851700268,1.0884713576,1.038689916,0.13755165,0.7002977484,0.04373883,0.0,0.0,0.1953,0.001302,0.00319734,0.0,9.586e-07,0.0,37.45242711,0.0,0.0,0.0,0.0
2023-11-13,2023-11-13,54.7447008847,808.1653602791,466.0413444335,483.8475674644,186.7255986651,122.2145188612,113.8810526857,108.1749578599,83.0034182151,51.8143557554,52.7079795534,34.5983728772,0.0,47.2960818048,37.6315262153,39.1843440171,40.4996402352,31.7393977629,31.519115801,0.0253395124,20.088,38.76705,17.28,7.161e-07,15.5764685304,8.639083661,7.1665823834,5.789086667,5.65884575,6.2729932537,1.8134463696,1.5490108068,1.1561043953,1.2897834501,0.22905435,0.7067426484,0.04357515,0.0,0.0,0.2046,0.001302,0.00326988,0.0,7.391e-07,0.0,20.784785295,0.0,0.0,0.0,0.0
